Target:wordPos	utterance	word	log_prob (word|left_context)	word_ph_len	STOI_babble_snr_0	STOI_babble_snr_-5	STOI_babble_snr_5	HRS_babble_snr_5	HRS_babble_snr_0	HRS_babble_snr_-5
0:01	and he runs away scared and dives into the ocean	he	-5.78	2	0.646541566	0.456382688	0.733534039	0.666666667	0.666666667	0
0:02	and he runs away scared and dives into the ocean	runs	-6.95	4	0.55667317	0.471004283	0.696782069	0.833333333	0.5	0
0:03	and he runs away scared and dives into the ocean	away	-5.36	3	0.708136516	0.488527654	0.874540136	1	0.833333333	0
0:04	and he runs away scared and dives into the ocean	scared	-11.92	5	0.819932519	0.651223813	0.933261494	0.833333333	0.666666667	0.666666667
0:05	and he runs away scared and dives into the ocean	and	-3.72	3	0.787526494	0.643693002	0.870525041	1	0.833333333	0.166666667
0:06	and he runs away scared and dives into the ocean	dives	-12.31	4	0.676684382	0.493847784	0.729202523	0.833333333	0.833333333	0
0:07	and he runs away scared and dives into the ocean	into	-6.88	4	0.699888684	0.521872081	0.847237959	0.833333333	0.666666667	0
0:08	and he runs away scared and dives into the ocean	the	-1.41	2	0.537922917	0.199520389	0.664877878	1	0.666666667	0
0:09	and he runs away scared and dives into the ocean	ocean	-7.26	4	0.802388364	0.694820377	0.88579003	1	0.666666667	0
1:01	and he runs away scared and dives into the sea	he	-5.78	2	0.646541566	0.456382688	0.733534039	0.833333333	0.833333333	0
1:02	and he runs away scared and dives into the sea	runs	-6.95	4	0.55667317	0.471004283	0.696782069	1	0.833333333	0
1:03	and he runs away scared and dives into the sea	away	-5.36	3	0.708136516	0.488527654	0.874540136	1	0.666666667	0
1:04	and he runs away scared and dives into the sea	scared	-11.92	5	0.819932519	0.651223813	0.933261494	1	1	0.5
1:05	and he runs away scared and dives into the sea	and	-3.72	3	0.787526494	0.643693002	0.870525041	1	1	0.833333333
1:06	and he runs away scared and dives into the sea	dives	-12.31	4	0.676684382	0.493847784	0.729202523	1	0.833333333	1
1:07	and he runs away scared and dives into the sea	into	-6.88	4	0.699888684	0.521872081	0.847237959	0.833333333	1	0.833333333
1:08	and he runs away scared and dives into the sea	the	-1.41	2	0.537922917	0.199520389	0.664877878	1	1	1
1:09	and he runs away scared and dives into the sea	sea	-9.64	2	0.696770043	0.549816471	0.85117769	1	1	1
2:01	and people were like cater to his every need	people	-6.16	5	0.742457066	0.539944845	0.899177152	1	1	0.666666667
2:02	and people were like cater to his every need	were	-4.82	2	0.697823885	0.447645221	0.859216816	0.166666667	0.5	0.5
2:03	and people were like cater to his every need	like	-4.18	3	0.794628915	0.617932166	0.907579193	0.833333333	0.833333333	0.666666667
2:04	and people were like cater to his every need	cater	-12.1	4	0.836378253	0.663411827	0.925970986	1	0.166666667	0
2:05	and people were like cater to his every need	to	-1	2	0.564953928	0.45146134	0.788231969	1	0.166666667	0.166666667
2:06	and people were like cater to his every need	his	-6.33	3	0.646724273	0.590425561	0.73812473	1	0.5	0.166666667
2:07	and people were like cater to his every need	every	-8.94	4	0.762920779	0.576969229	0.881152217	1	1	0.666666667
2:08	and people were like cater to his every need	need	-10.97	3	0.49892533	0.338130562	0.723482805	1	1	1
3:01	and people were like provide to his every need	people	-6.16	5	0.742457066	0.539944845	0.899177152	1	1	0.833333333
3:02	and people were like provide to his every need	were	-4.82	2	0.697823885	0.447645221	0.859216816	0.5	0.666666667	0.166666667
3:03	and people were like provide to his every need	like	-4.18	3	0.794628915	0.617932166	0.907579193	0.666666667	0.833333333	0.166666667
3:04	and people were like provide to his every need	provide	-11.24	6	0.736664673	0.592543486	0.841782341	0.666666667	0.166666667	0
3:05	and people were like provide to his every need	to	-4.08	2	0.564953928	0.45146134	0.788231969	0.833333333	0.833333333	0.5
3:06	and people were like provide to his every need	his	-7.29	3	0.646724273	0.590425561	0.73812473	1	0.666666667	0.666666667
3:07	and people were like provide to his every need	every	-9.07	4	0.762920779	0.576969229	0.881152217	1	1	0.666666667
3:08	and people were like provide to his every need	need	-10.62	3	0.49892533	0.338130562	0.723482805	1	1	0.666666667
4:01	and she was really grateful and she 's	she	-6.69	2	0.82435915	0.667284845	0.856017545	1	1	0.5
4:02	and she was really grateful and she 's	was	-2.87	3	0.727564693	0.537003996	0.760263436	1	1	0.5
4:03	and she was really grateful and she 's	really	-3.83	4	0.552563749	0.481660549	0.701970351	1	1	0.833333333
4:04	and she was really grateful and she 's	grateful	-9.19	7	0.775694628	0.675526351	0.869518908	0.833333333	1	0.666666667
4:05	and she was really grateful and she 's	and	-4.77	3	0.787526494	0.643693002	0.870525041	1	0.833333333	0.666666667
4:06	and she was really grateful and she 's	she	-4.8	2	0.82435915	0.667284845	0.856017545	1	1	0.5
4:07	and she was really grateful and she 's	's	-2.99	3	0.796203933	0.742192137	0.869276556	0.666666667	0.166666667	0
5:01	and she was really thankful and she 's	she	-6.69	2	0.82435915	0.667284845	0.856017545	1	1	1
